rowname,study_id,mcmaster_sample_id,date_collected,study_name,sample_type,date_received,notes.x,illumina_plate_number,gprep_plate_number,mcmaster_pilot,box_ID,slot_ID,mcmaster_box,mcmaster_slot,ring_number,colour_combination,date_char,date,season,dietary_season,sample_type_detail,shipped_to_guelph,area,territory.x,birth_year,breeding_status,age,age_fine,sex,species,X,Y,samples,Observed,Chao1,Shannon,Simpson,julian,dominance
KCG114,KCG114,114,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A2,2,D6,5142871,garc,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,y,reivo,folkes,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.0979,65.8102,KCG114,87,87,1.5641733,0.59022453,230,NA
KCG113,KCG113,113,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A1,2,D5,5142874,gapy,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,y,reivo,angel,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.11709,65.80823,KCG113,101,101,4.2587792,0.98173463,230,NA
KCG84,KCG84,84,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G7,2,A3,5142879,gawb,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,y,managed,flarkmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16553,65.64811,KCG84,120,120,1.7719388,0.60154968,234,NA
KCG76,KCG76,76,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,E2,1,I4,5142880,mapo,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,y,managed,stapmoken,2021,breeder,adult,adult,NA,Perisoreus infaustus,19.13864,65.64967,KCG76,76,76,2.6103649,0.88696922,234,subordinate
KCG109,KCG109,109,2022-08-18,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,H9,2,D1,5142882,gays,18-Aug-22,2022-08-18,fall2022,fall,faeces,y,reivo,guorbatjakka,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.05471,65.79365,KCG109,45,45,2.7012568,0.85071391,230,dominant
KCG71,KCG71,71,2022-09-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,C2,1,H8,5142883,gawy,22-Sep,2022-09-22,fall2022,fall,cloacal swab tip,y,managed,tjaltmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.10497,65.70044,KCG71,75,75,2.0136946,0.61622252,265,dominant
KCG89,KCG89,89,2022-08-28,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H3,2,A8,5142884,gacc,28-Aug-22,2022-08-28,fall2022,fall,cloacal swab tip,y,managed,japanska,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.13646,65.66266,KCG89,92,92,2.2095302,0.78194283,240,NA
KCG72,KCG72,72,2022-08-22,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,C4,1,H9,5142892,gayo,22-Aug-22,2022-08-22,fall2022,fall,cloacal swab tip,y,managed,stockholm,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.14029,65.67355,KCG72,43,43,0.5333931,0.16559255,234,NA
KCG83,KCG83,83,2022-08-13,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G6,2,A2,5142893,gam#,13-Aug-22,2022-08-13,fall2022,fall,cloacal swab tip,y,reivo,baggins,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08926,65.78958,KCG83,66,66,0.8940099,0.31548171,225,NA
KCG67,KCG67,67,2022-09-11,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A5,1,H4,5142894,gapm,11-Sep-22,2022-09-11,fall2022,fall,cloacal swab tip,y,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG67,152,152,1.7492629,0.71289501,254,NA
KCG134,KCG134,134,2023-03-27,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G9,2,F8,5142894,gapm,27-Mar-23,2023-03-27,spring2023,spring,cloacal swab tip,y,reivo,granmyran,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.16709,65.77498,KCG134,32,32,0.1476457,0.0398486,86,NA
KCG87,KCG87,87,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,H1,2,A6,5142895,gawr,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,y,managed,lillberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08696,65.67895,KCG87,80,80,1.3964086,0.52209652,236,NA
KCG90,KCG90,90,2022-08-29,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,A7,2,A9,5142895,gawr,29-Aug-22,2022-08-29,fall2022,fall,cloacal swab tip,y,managed,lillberget,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.08696,65.67895,KCG90,18,18,1.9984959,0.72149383,241,NA
KCG85,KCG85,85,2022-08-24,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,G8,2,A4,5142899,gaws,24-Aug-22,2022-08-24,fall2022,fall,cloacal swab tip,y,managed,akkatop,2022,non-breeder,juvenile,juvenile,NA,Perisoreus infaustus,19.19755,65.65517,KCG85,57,57,1.9196361,0.66470443,236,NA
KCG111,KCG111,111,2022-08-18,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,I4,2,D3,5152140,bsma,18-Aug-22,2022-08-18,fall2022,fall,cloacal swab tip,y,reivo,fello,2010,breeder,adult,adult,NA,Perisoreus infaustus,19.04327,65.81245,KCG111,23,23,1.5708575,0.64552872,230,NA
KCG33,KCG33,33,2022-03-01,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,2,C1,1,D6,5152957,gbas,22-Mar,2022-03-22,spring2022,spring,faeces,y,managed,doubletop,2013,breeder,adult,adult,NA,Perisoreus infaustus,19.17721,65.65864,KCG33,235,235,2.286712,0.73880459,81,subordinate
KCG116,KCG116,116,2023-03-10,Perisoreus_infaustus_microbiome,faeces,2024-01-19,NA,LR492,manual,n,NA,D1,2,D8,5152957,gbas,10-Mar-23,2023-03-10,spring2023,spring,faeces,y,managed,doubletop,2013,breeder,adult,adult,f,Perisoreus infaustus,19.17721,65.65864,KCG116,74,74,1.647586,0.62384963,69,NA
KCG117,KCG117,117,2023-03-10,Perisoreus_infaustus_microbiome,cloacal,2024-01-19,NA,LR492,manual,n,NA,D2,2,D9,5152957,gbas,10-Mar-23,2023-03-10,spring2023,spring,cloacal swab tip,y,managed,doubletop,2013,breeder,adult,adult,f,Perisoreus infaustus,19.17721,65.65864,KCG117,27,27,2.3388933,0.79435812,69,NA
